<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;116680;116700;116650;116650
27.09.2018;116650;116660;116560;116610
27.09.2018;116610;116620;116550;116610
27.09.2018;116610;116620;116560;116570
27.09.2018;116560;116580;116520;116540
27.09.2018;116540;116610;116530;116590
27.09.2018;116600;116610;116550;116550
27.09.2018;116560;116610;116550;116570
27.09.2018;116560;116560;116530;116550
27.09.2018;116550;116580;116530;116550
27.09.2018;116550;116660;116550;116630
27.09.2018;116630;116670;116610;116640
27.09.2018;116640;116650;116610;116630
27.09.2018;116630;116650;116610;116640
27.09.2018;116640;116690;116630;116690
27.09.2018;116690;116760;116680;116720
27.09.2018;116730;116790;116720;116790
27.09.2018;116790;116800;116760;116800
27.09.2018;116800;116820;116760;116790
27.09.2018;116800;116810;116750;116780
27.09.2018;116790;116820;116760;116780
27.09.2018;116770;116800;116750;116790
27.09.2018;116790;116800;116750;116760
27.09.2018;116750;116790;116750;116780
27.09.2018;116780;116800;116760;116790
27.09.2018;116800;116820;116780;116800
27.09.2018;116790;116820;116690;116730
27.09.2018;116730;116790;116730;116780
27.09.2018;116790;116810;116770;116790
27.09.2018;116800;116800;116760;116790
27.09.2018;116800;116810;116780;116800
27.09.2018;116800;116800;116770;116800
27.09.2018;116790;116870;116780;116860
27.09.2018;116860;116870;116830;116830
27.09.2018;116830;116880;116830;116860
27.09.2018;116850;116870;116770;116770
27.09.2018;116780;116800;116740;116740
27.09.2018;116740;116790;116740;116780
27.09.2018;116790;116800;116770;116800
27.09.2018;116800;116810;116720;116780
27.09.2018;116770;116820;116750;116820
27.09.2018;116810;116810;116730;116750
27.09.2018;116750;116800;116740;116740
27.09.2018;116750;116800;116720;116790
27.09.2018;116800;116800;116730;116760
27.09.2018;116760;116800;116760;116790
27.09.2018;116780;116840;116780;116820
27.09.2018;116830;116890;116790;116800
27.09.2018;116800;116810;116780;116790
27.09.2018;116790;116810;116750;116760
27.09.2018;116770;116790;116750;116790
27.09.2018;116790;116810;116780;116800
27.09.2018;116790;116810;116770;116780
27.09.2018;116780;116800;116770;116770
27.09.2018;116770;116800;116750;116800
27.09.2018;116800;116810;116770;116780
27.09.2018;116800;116800;116740;116740
27.09.2018;116750;116790;116750;116780
27.09.2018;116780;116800;116710;116720
27.09.2018;116720;116780;116720;116760
27.09.2018;116750;116800;116750;116770
27.09.2018;116770;116780;116710;116750
27.09.2018;116760;116760;116710;116730
27.09.2018;116710;116720;116690;116690
27.09.2018;116700;116730;116660;116670
27.09.2018;116670;116740;116660;116710
27.09.2018;116710;116740;116680;116730
27.09.2018;116740;116760;116740;116750
27.09.2018;116750;116800;116750;116800
27.09.2018;116790;116800;116750;116770
27.09.2018;116770;116770;116720;116740
27.09.2018;116750;116810;116730;116800
27.09.2018;116790;116850;116780;116820
27.09.2018;116810;116850;116800;116820
27.09.2018;116820;116880;116820;116850
27.09.2018;116870;116890;116840;116840
27.09.2018;116830;116860;116820;116850
27.09.2018;116850;116870;116830;116850
27.09.2018;116860;116890;116860;116870
27.09.2018;116880;116920;116870;116910
27.09.2018;116890;116950;116870;116940
27.09.2018;116930;116980;116900;116960
27.09.2018;116950;116960;116910;116910
27.09.2018;116920;116930;116890;116920
27.09.2018;116920;116940;116880;116920
27.09.2018;116910;116910;116800;116870
27.09.2018;116870;116870;116830;116830
27.09.2018;116830;116950;116820;116930
27.09.2018;116940;116960;116920;116920
27.09.2018;116930;116960;116900;116950
27.09.2018;116950;116960;116900;116930
27.09.2018;116940;116960;116840;116920
27.09.2018;116940;116980;116920;116980
27.09.2018;116980;117100;116960;117040
27.09.2018;117040;117090;117020;117070
27.09.2018;117130;117390;117060;117330
27.09.2018;117330;117430;117290;117330
27.09.2018;117350;117420;117350;117380
27.09.2018;117370;117570;117370;117460
27.09.2018;117450;117460;117380;117400
27.09.2018;117410;117420;117350;117390
27.09.2018;117390;117390;117290;117310
27.09.2018;117310;117350;117260;117350
27.09.2018;117350;117430;117340;117430
27.09.2018;117430;117440;117370;117390
27.09.2018;117390;117440;117350;117350
27.09.2018;117350;117390;117340;117370
27.09.2018;117370;117440;117360;117380
27.09.2018;117380;117440;117370;117430
27.09.2018;117430;117670;117420;117560
27.09.2018;117570;117650;117510;117520
27.09.2018;117530;117530;117450;117460
27.09.2018;117450;117480;117420;117480
27.09.2018;117480;117490;117440;117440
27.09.2018;117450;117500;117370;117380
27.09.2018;117400;117440;117370;117430
27.09.2018;117430;117550;117430;117540
27.09.2018;117540;117550;117500;117530
27.09.2018;117530;117580;117490;117570
27.09.2018;117570;117590;117530;117540
27.09.2018;117560;117640;117540;117610
27.09.2018;117630;117710;117620;117650
27.09.2018;117630;117670;117620;117660
27.09.2018;117650;117720;117630;117640
27.09.2018;117630;117670;117610;117640
27.09.2018;117630;117630;117610;117610
27.09.2018;117610;117670;117610;117640
27.09.2018;117640;117670;117630;117650
27.09.2018;117640;117650;117610;117620
27.09.2018;117620;117680;117620;117640
27.09.2018;117640;117720;117640;117650
27.09.2018;117650;117680;117610;117610
27.09.2018;117610;117620;117540;117570
27.09.2018;117570;117590;117570;117580
27.09.2018;117580;117600;117560;117560
27.09.2018;117560;117590;117550;117570
27.09.2018;117570;117570;117530;117550
27.09.2018;117550;117620;117550;117600
27.09.2018;117620;117650;117550;117560
27.09.2018;117570;117620;117550;117590
27.09.2018;117600;117640;117600;117620
27.09.2018;117610;117620;117590;117610
27.09.2018;117610;117610;117540;117540
27.09.2018;117540;117570;117530;117550
27.09.2018;117560;117600;117550;117600
27.09.2018;117590;117620;117560;117570
27.09.2018;117580;117580;117540;117550
27.09.2018;117560;117560;117490;117500
27.09.2018;117510;117510;117460;117470
27.09.2018;117490;117550;117460;117530
27.09.2018;117530;117550;117480;117490
27.09.2018;117500;117530;117470;117520
27.09.2018;117530;117540;117510;117540
27.09.2018;117550;117570;117530;117560
27.09.2018;117550;117550;117450;117470
27.09.2018;117490;117490;117410;117450
27.09.2018;117440;117440;117380;117390
27.09.2018;117390;117410;117370;117380
27.09.2018;117380;117400;117370;117390
27.09.2018;117390;117400;117380;117400
27.09.2018;117400;117430;117390;117410
27.09.2018;117410;117440;117400;117420
27.09.2018;117440;117440;117370;117380
27.09.2018;117370;117390;117340;117340
27.09.2018;117360;117390;117340;117380
27.09.2018;117370;117380;117330;117330
27.09.2018;117340;117400;117330;117390
27.09.2018;117390;117400;117370;117390
27.09.2018;117380;117420;117370;117410
27.09.2018;117410;117410;117380;117400
27.09.2018;117380;117390;117370;117370
27.09.2018;117360;117360;117280;117320
27.09.2018;117320;117330;117300;117310
27.09.2018;117320;117330;117300;117300
27.09.2018;117300;117350;117280;117330
27.09.2018;117320;117350;117270;117340
27.09.2018;117350;117370;117340;117340
27.09.2018;117350;117370;117340;117340
27.09.2018;117360;117370;117300;117310
27.09.2018;117310;117350;117310;117330
27.09.2018;117330;117390;117320;117380
27.09.2018;117380;117450;117370;117400
27.09.2018;117400;117500;117400;117490
27.09.2018;117500;117520;117480;117480
27.09.2018;117490;117530;117480;117500
27.09.2018;117480;117530;117470;117530
27.09.2018;117530;117550;117500;117550
27.09.2018;117550;117590;117530;117580
27.09.2018;117570;117590;117510;117560
27.09.2018;117550;117570;117470;117490
27.09.2018;117500;117550;117480;117530
27.09.2018;117520;117550;117480;117550
27.09.2018;117540;117560;117400;117400
27.09.2018;117400;117500;117400;117470
27.09.2018;117480;117500;117470;117490
27.09.2018;117490;117510;117450;117480
27.09.2018;117490;117500;117430;117440
27.09.2018;117440;117460;117440;117450
